COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Acadia Parish,LA ,High,96.8,52.5,56.4,62.5,66.6,92.7
Allen Parish,LA ,High,96.8,35.7,38.1,41.6,44.1,62
Ascension Parish,LA ,Low-Mod,96.8,50.4,54.2,59.8,62.1,84.6
Assumption Parish,LA ,High,96.8,43,45.5,49.1,51.4,69.2
Avoyelles Parish,LA ,High,96.8,46,49.3,54.1,56.3,73
Beauregard Parish,LA ,Mod-High,96.8,35.5,38.2,42,44.8,68
Bienville Parish,LA ,High,96.8,48.5,51.5,56.2,59.4,78.9
Bossier Parish,LA ,Mod-High,96.8,50.1,53.6,59.1,61.5,79
Caddo Parish,LA ,High,96.8,48,51.3,55.9,58,78.9
Calcasieu Parish,LA ,Mod-High,96.8,42,45.2,49.7,52.2,76
Caldwell Parish,LA ,High,96.8,38.4,41,44.8,47.3,74.6
Cameron Parish,LA ,Low-Mod,96.8,17.8,18.8,20.6,22.2,32.1
Catahoula Parish,LA ,High,96.8,40.3,42.7,46.2,48.4,76.2
Claiborne Parish,LA ,High,96.8,40.5,42.5,45.5,46.8,68.3
Concordia Parish,LA ,High,96.8,42.6,45.6,49.5,51.4,63.7
De Soto Parish,LA ,High,96.8,42.5,45.2,49.4,51.9,71.8
East Baton Rouge Parish,LA ,Mod-High,96.8,55.5,59.3,64.1,65.8,92.1
East Carroll Parish,LA ,High,96.8,45.7,48.8,53.5,55.8,85.1
East Feliciana Parish,LA ,High,96.8,40.1,42.1,44.5,45.7,68.6
Evangeline Parish,LA ,High,96.8,38.4,41.2,45.3,47.5,66
Franklin Parish,LA ,High,96.8,36.6,39.3,43.5,46.6,66.4
Grant Parish,LA ,Mod-High,96.8,42.2,44.7,48.6,51.2,70.3
Iberia Parish,LA ,High,96.8,46.5,50,55.1,57.7,80
Iberville Parish,LA ,High,96.8,55.6,58.9,62.9,64.4,86.6
Jackson Parish,LA ,High,96.8,42.3,44.6,48.8,51.7,61.6
Jefferson Davis Parish,LA ,High,96.8,36.5,39.1,43.5,46.6,67.2
Jefferson Parish,LA ,Mod-High,96.8,64.7,69.2,74.5,76,89.7
Lafayette Parish,LA ,Mod-High,96.8,49.8,53.4,58.2,60,82.7
Lafourche Parish,LA ,High,96.8,44.8,47.8,52.2,54.3,70.2
LaSalle Parish,LA ,High,96.8,44.4,47.2,51.8,55.4,68.3
Lincoln Parish,LA ,High,96.8,42.8,45.3,48.5,49.9,84
Livingston Parish,LA ,Low-Mod,96.8,39.5,42.4,46.8,49.4,75.9
Madison Parish,LA ,High,96.8,45,48.4,52.5,54.4,75
Morehouse Parish,LA ,High,96.8,45.4,48.8,53.3,56.2,78.1
Natchitoches Parish,LA ,High,96.8,42.8,45.7,49.8,52.1,73.7
Orleans Parish,LA ,Mod-High,96.8,69,73.2,77.1,77.8,88.8
Ouachita Parish,LA ,High,96.8,44.8,48.1,52.9,55.3,80
Plaquemines Parish,LA ,Mod-High,96.8,68.4,73.3,80.7,84,85.5
Pointe Coupee Parish,LA ,High,96.8,54.9,58.3,63,65.1,79.4
Rapides Parish,LA ,High,96.8,49.2,52.7,57.9,60.4,83
Red River Parish,LA ,High,96.8,36.4,38.8,42.5,44.3,59.2
Richland Parish,LA ,High,96.8,42.7,45.5,49.7,52.3,77
Sabine Parish,LA ,High,96.8,37.9,40.2,44.1,47.3,66.5
St. Bernard Parish,LA ,High,96.8,48.4,52.1,57.7,59.6,80
St. Charles Parish,LA ,Low-Mod,96.8,56.3,59.9,65.2,67.4,90.9
St. Helena Parish,LA ,High,96.8,31.2,33,35.1,35.6,43.9
St. James Parish,LA ,Mod-High,96.8,51.4,54.7,59.6,61.3,70.7
St. John the Baptist Parish,LA ,Mod-High,96.8,59.3,63.4,68.8,71.4,88.9
St. Landry Parish,LA ,High,96.8,41.2,44.5,49,51.1,66.4
St. Martin Parish,LA ,High,96.8,40,42.8,46.7,48.4,69.4
St. Mary Parish,LA ,High,96.8,44.7,48,52.5,55.2,76.6
St. Tammany Parish,LA ,Low-Mod,96.8,56.4,59.9,65.4,68.5,89.7
Tangipahoa Parish,LA ,High,96.8,45.9,49.5,54.5,56.8,83.8
Tensas Parish,LA ,High,96.8,62.1,66,71.5,74.6,82.3
Terrebonne Parish,LA ,High,96.8,44.9,48.3,53.3,56.3,81.3
Union Parish,LA ,High,96.8,45,47.8,51.7,53.9,72.3
Vermilion Parish,LA ,High,96.8,37.9,40.5,44.6,47.4,66
Vernon Parish,LA ,Mod-High,96.8,55.9,60.9,66.7,69.9,80.9
Washington Parish,LA ,High,96.8,41.6,44.6,48.7,51.5,72
Webster Parish,LA ,High,96.8,42.6,45.4,49.5,51.7,73.3
West Baton Rouge Parish,LA ,High,96.8,53.3,57.3,62.5,64.2,83.5
West Carroll Parish,LA ,Mod-High,96.8,40.4,42.5,46.6,50.1,82.7
West Feliciana Parish,LA ,Mod-High,96.8,88.1,91.9,95,95,95
Winn Parish,LA ,High,96.8,46.7,49.6,53.6,56.7,70.6
Androscoggin County,ME ,Mod-High,96.2,69.5,73.7,78.1,79.6,92.7
Aroostook County,ME ,Mod-High,96.2,68.5,72,75.2,76.6,86.2
Cumberland County,ME ,Low,96.2,87,91.3,93.4,93.9,95
Franklin County,ME ,Low,96.2,63.4,66.3,69.5,70.9,90.1
Hancock County,ME ,Low,96.2,76.1,79.5,82.5,83.7,94.2
Kennebec County,ME ,Low-Mod,96.2,71.1,74.8,78.3,79.8,93
Knox County,ME ,Low,96.2,83.1,86.7,89.7,91.1,95
Lincoln County,ME ,Low,96.2,80.1,83.8,86.7,87.8,95
Oxford County,ME ,Low-Mod,96.2,67.4,70.5,73.9,75.4,90.4
Penobscot County,ME ,Low-Mod,96.2,70.5,73.9,77,78.3,93.1
Piscataquis County,ME ,Low-Mod,96.2,61.4,64.1,67.3,69,82.7
Sagadahoc County,ME ,Low,96.2,79.1,83.1,86.3,87.6,95
Somerset County,ME ,Mod-High,96.2,61.1,64.2,67.7,70,88.8
Waldo County,ME ,Low,96.2,70.6,73.9,77.4,78.9,95
Washington County,ME ,Mod-High,96.2,71.2,74.7,79.1,81.4,92
York County,ME ,Low,96.2,78.4,82.2,85.4,86.4,95
Allegany County,MD ,Mod-High,98.2,55.4,58,61.1,62.8,82.7
Anne Arundel County,MD ,Low,98.2,76.3,81.3,85,85.5,95
Baltimore City,MD ,High,98.2,63.9,68.1,71.9,73,80.6
Baltimore County,MD ,Low-Mod,98.2,70.6,75,79.1,80,90.7
Calvert County,MD ,Low,98.2,70.4,74.3,78.3,79.2,95
Caroline County,MD ,Mod-High,98.2,56.7,60.3,65.4,67.9,91
Carroll County,MD ,Low,98.2,73.4,77.6,81.2,82.4,95
Cecil County,MD ,Low-Mod,98.2,57.5,60.9,65.4,67.7,86.8
Charles County,MD ,Low,98.2,69.3,73.6,78.6,79.6,95
Dorchester County,MD ,High,98.2,58.4,61.8,66.5,69,84.7
Frederick County,MD ,Low,98.2,76.2,80.9,84.8,85.6,95
Garrett County,MD ,Low,98.2,49.2,51.7,54.9,57.3,78.4
Harford County,MD ,Low,98.2,68.7,72.8,76.7,78.3,92.3
Howard County,MD ,Low,98.2,85,90.4,93.5,93.7,95
Kent County,MD ,Low-Mod,98.2,66.8,69.6,72.6,74,94.1
Montgomery County,MD ,Low-Mod,98.2,85.8,91.4,95,94.8,95
Prince George's County,MD ,Mod-High,98.2,73,78,82.5,82.6,92.2
Queen Anne's County,MD ,Low,98.2,65.6,69.1,73.3,75.4,90.4
Somerset County,MD ,High,98.2,50.6,53,56.1,57.6,83.3
St. Mary's County,MD ,Low,98.2,65.5,69.9,74.7,76.4,91
Talbot County,MD ,Low,98.2,72.5,76.1,79.9,81.2,88.3
Washington County,MD ,Mod-High,98.2,58.9,62.5,66.7,68.7,87
Wicomico County,MD ,High,98.2,54.9,58.5,62.6,64.4,87.7
Worcester County,MD ,Low-Mod,98.2,70.6,73.6,77.7,79.6,88.9
Barnstable County,MA ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Berkshire County,MA ,Low-Mod,89.9,57.8,60.3,60.9,60.4,67.8
Bristol County,MA ,Mod-High,89.9,64.8,68.4,72.1,73,83
Dukes County,MA ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Essex County,MA ,Mod-High,89.9,73.1,77.4,80.5,80.7,88.7
Franklin County,MA ,Low,89.9,67.5,70.4,72.7,72.9,82.1
Hampden County,MA ,High,89.9,64.8,68.5,72.4,73.6,85.4
Hampshire County,MA ,Low,89.9,66,68.3,68.8,68.1,90.8
Middlesex County,MA ,Low,89.9,78.7,83,84.9,84.7,90.2
Nantucket County,MA ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Norfolk County,MA ,Low,89.9,78.3,82.6,84.7,84.9,88.4
Plymouth County,MA ,Low,89.9,69.2,73.1,76.3,77.4,86.6
Suffolk County,MA ,Mod-High,89.9,72.5,76.4,78.8,79,83.2
Worcester County,MA ,Low-Mod,89.9,69.1,72.9,76.1,76.5,86.5
Alcona County,MI ,Low-Mod,95.5,58,59.8,62.6,64.7,79.7
Alger County,MI ,Low-Mod,95.5,62,64.4,67.7,69.4,84.4
Allegan County,MI ,Low,95.5,51.8,55.2,60.1,62.3,83.9
Alpena County,MI ,Low-Mod,95.5,55.4,58.3,62.5,65.1,89.3
Antrim County,MI ,Low,95.5,57.8,60.3,64.2,66.5,82.1
Arenac County,MI ,Mod-High,95.5,51.1,53.6,57.4,60.3,83.4
Baraga County,MI ,Mod-High,95.5,60.5,63,67.1,70.4,82
Barry County,MI ,Low,95.5,48.7,51.6,55.8,58,79.6
Bay County,MI ,Low-Mod,95.5,57,60,64.4,66.7,86
Benzie County,MI ,Low,95.5,62.7,65.6,69.7,71.7,87.9
Berrien County,MI ,Mod-High,95.5,55.4,58.8,63.6,65.8,84.5
Branch County,MI ,Mod-High,95.5,44.8,47.7,52.1,55,79.1
Calhoun County,MI ,Mod-High,95.5,51.8,55.2,59.8,61.9,83.2
Cass County,MI ,Low-Mod,95.5,43.1,45.3,48.9,50.9,69.3
Charlevoix County,MI ,Low,95.5,63.8,66.7,71,72.9,87.4
Cheboygan County,MI ,Low-Mod,95.5,55.8,58.2,61.3,63.5,80.1
Chippewa County,MI ,Mod-High,95.5,69.4,72.7,77.2,78.1,95
Clare County,MI ,High,95.5,46.1,48.7,52.5,54.8,78.2
Clinton County,MI ,Low,95.5,57.2,60.5,65.2,66.9,84.2
Crawford County,MI ,Low-Mod,95.5,50.8,53.5,57,58.5,73
Delta County,MI ,Low-Mod,95.5,61.2,64.4,69.3,72.5,95
Dickinson County,MI ,Low,95.5,65.8,69.4,74.3,77.8,95
Eaton County,MI ,Low-Mod,95.5,56.8,59.9,64.3,65.8,85.6
Emmet County,MI ,Low,95.5,72,75.4,80.4,82.2,94.5
Genesee County,MI ,Mod-High,95.5,50.3,53.4,58,60.2,81.9
Gladwin County,MI ,Mod-High,95.5,47.6,50.3,53.8,56.2,77.6
Gogebic County,MI ,Low-Mod,95.5,62.8,65.7,69.7,72.2,90.2
Grand Traverse County,MI ,Low,95.5,67.1,70.7,75.5,76.8,94.3
Gratiot County,MI ,Mod-High,95.5,45.9,48.2,51.8,53.7,84.8
Hillsdale County,MI ,Mod-High,95.5,38.3,40.6,44,46.4,71.1
Houghton County,MI ,Low-Mod,95.5,51.9,54.8,58.8,60.5,87.5
Huron County,MI ,Low-Mod,95.5,53.8,56.7,60.9,63.7,84
Ingham County,MI ,Mod-High,95.5,56.8,60.1,64.2,64.8,89.8
Ionia County,MI ,Low-Mod,95.5,47,49.8,53.9,56,84
Iosco County,MI ,Low-Mod,95.5,56.1,58.8,62.6,64.8,80.6
Iron County,MI ,Low-Mod,95.5,55.5,58,61.8,64.2,80.7
Isabella County,MI ,Mod-High,95.5,44.4,46.6,49.3,49.9,83.2
Jackson County,MI ,Mod-High,95.5,52.1,55.3,59.6,61.9,85.7
Kalamazoo County,MI ,Low-Mod,95.5,61,64.8,69.5,70.5,92.2
Kalkaska County,MI ,Mod-High,95.5,46.5,49,53.2,55.6,82.7
Kent County,MI ,Low-Mod,95.5,60.8,65.2,70.6,72.1,87.5
Keweenaw County,MI ,Low,95.5,57.9,60,62.7,65.1,73.4
Lake County,MI ,High,95.5,62.2,65.3,69.5,72.5,68.3
Lapeer County,MI ,Low,95.5,47.3,49.6,53.4,56,80.5
Leelanau County,MI ,Low,95.5,81.6,85.2,89.4,90.4,95
Lenawee County,MI ,Low-Mod,95.5,52.6,55.5,59.7,61.8,86.5
Livingston County,MI ,Low,95.5,59.9,63,67.6,69.7,88.6
Luce County,MI ,Mod-High,95.5,44.3,46.4,49.1,50.8,81.6
Mackinac County,MI ,Mod-High,95.5,74.6,77.8,81.7,84.9,90
Macomb County,MI ,Low-Mod,95.5,56.6,59.8,64.3,66.5,84.9
Manistee County,MI ,Low-Mod,95.5,59.6,62.2,65.8,67.7,86.4
Marquette County,MI ,Low-Mod,95.5,63.6,66.7,70.8,71.8,93.8
Mason County,MI ,Low-Mod,95.5,60.2,63.6,68.3,70.4,89.4
Mecosta County,MI ,Mod-High,95.5,41.6,43.8,46.6,48.2,77.2
Menominee County,MI ,Low-Mod,95.5,56.4,59,62.2,65,91.2
Midland County,MI ,Low,95.5,58.7,62.1,67,68.6,87.4
Missaukee County,MI ,Low-Mod,95.5,48.2,51.4,56.3,59.9,83.4
Monroe County,MI ,Low,95.5,56.3,59.4,63.9,66.4,87.8
Montcalm County,MI ,Mod-High,95.5,42.2,44.7,48.7,51.1,77.1
Montmorency County,MI ,Low-Mod,95.5,54.2,56.2,59.4,61.7,83.1
Muskegon County,MI ,Mod-High,95.5,54.5,58.1,63.2,65.5,88.4
Newaygo County,MI ,Mod-High,95.5,44.4,47.1,51.2,53.9,77.3
Oakland County,MI ,Low,95.5,66,69.7,74.4,75.8,88.6
Oceana County,MI ,High,95.5,53.9,56.9,61.9,64.5,84.2
Ogemaw County,MI ,Mod-High,95.5,45.1,47.3,50.6,53.3,75.3
Ontonagon County,MI ,Low-Mod,95.5,68.6,70.5,73.2,75.9,84.7
Osceola County,MI ,Mod-High,95.5,41.8,44.3,48,51.2,75.1
Oscoda County,MI ,Mod-High,95.5,41.8,44.1,47.8,50.6,75.1
Otsego County,MI ,Low-Mod,95.5,55.2,58.2,63.1,65.6,86.2
Ottawa County,MI ,Low,95.5,57.2,60.9,66.1,67.7,88.2
Presque Isle County,MI ,Low-Mod,95.5,59.6,62.1,65.4,68.3,86
Roscommon County,MI ,Low-Mod,95.5,55.9,58,61.2,63.5,80
Saginaw County,MI ,Mod-High,95.5,52.7,56,60.4,62.6,84.5
Sanilac County,MI ,Low-Mod,95.5,42.5,44.9,48.8,51.8,73.9
Schoolcraft County,MI ,Mod-High,95.5,55.4,57.9,61.8,63.5,81.7
Shiawassee County,MI ,Low,95.5,51.1,54,58.1,60.5,83.2
St. Clair County,MI ,Low-Mod,95.5,49.6,52.1,56.3,58.9,80.8
St. Joseph County,MI ,Mod-High,95.5,45,48.1,52.8,55.5,78.2
Tuscola County,MI ,Low-Mod,95.5,45.8,48.4,52,54.6,79.9
Van Buren County,MI ,Mod-High,95.5,56.8,60.4,65.4,67.5,85.7
Washtenaw County,MI ,Low,95.5,70.6,74.2,78.5,78.9,95
Wayne County,MI ,High,95.5,53.8,57.6,62.6,64.7,81.4
Wexford County,MI ,Mod-High,95.5,51.1,54.4,59.3,62,85.5
Aitkin County,MN ,Low-Mod,94.6,58.5,60.7,64,66,80.4
Anoka County,MN ,Low,94.6,58.9,62.7,65.7,67,80.9
Becker County,MN ,Low-Mod,94.6,53.8,57.3,62.1,65.2,89.9
Beltrami County,MN ,High,94.6,66.7,71.6,75.5,76.2,95
Benton County,MN ,Low-Mod,94.6,43.2,46.5,49.3,50.7,65.9
Big Stone County,MN ,Low,94.6,62.8,66.8,71.4,73.7,91
Blue Earth County,MN ,Low-Mod,94.6,60.2,63.7,66.7,67.6,95
Brown County,MN ,Low,94.6,65.6,69.5,73.9,76.2,95
Carlton County,MN ,Low-Mod,94.6,64.1,67.6,71.1,73.4,92
Carver County,MN ,Low,94.6,67,71.5,74.4,75.9,90.8
Cass County,MN ,Low-Mod,94.6,56.5,59.6,63.4,65.4,83.4
Chippewa County,MN ,Low-Mod,94.6,52.8,56.8,61.7,64,84.7
Chisago County,MN ,Low,94.6,57,60.6,64.5,66.9,95
Clay County,MN ,Low,94.6,58.8,63.3,67.4,68.4,93.9
Clearwater County,MN ,High,94.6,41.6,44.4,48.8,51.7,81.2
Cook County,MN ,Low,94.6,80,83.4,85.3,86.5,95
Cottonwood County,MN ,Low-Mod,94.6,55.6,59.6,64.8,67.6,83.3
Crow Wing County,MN ,Low,94.6,56.2,59.4,63.3,65.8,90.5
Dakota County,MN ,Low,94.6,69.1,73.8,77.1,78.3,90.5
Dodge County,MN ,Low,94.6,60.2,64.1,68.1,70.1,88.2
Douglas County,MN ,Low,94.6,57,60.6,64.2,66.5,90.4
Faribault County,MN ,Low,94.6,57.1,60.6,64.6,67.3,91
Fillmore County,MN ,Low,94.6,68,72.7,78.7,81.5,95
Freeborn County,MN ,Low-Mod,94.6,57.1,60.4,64.3,66.7,85.2
Goodhue County,MN ,Low,94.6,66.2,70.2,74.1,76.1,93.6
Grant County,MN ,Low,94.6,54.7,58,62.7,65.1,84.9
Hennepin County,MN ,Low-Mod,94.6,73.5,78.4,81.4,82.3,93.2
Houston County,MN ,Low,94.6,58.8,62.3,67.1,70,95
Hubbard County,MN ,Low,94.6,47,49.6,53.2,55.4,77.8
Isanti County,MN ,Low,94.6,42.7,45.4,49,50.8,73.3
Itasca County,MN ,Low-Mod,94.6,56.2,59.3,62.8,65.1,84.2
Jackson County,MN ,Low,94.6,50.7,53.6,57.1,59.5,75.5
Kanabec County,MN ,Low-Mod,94.6,42.6,45.2,47.9,49.4,72.4
Kandiyohi County,MN ,Low-Mod,94.6,53.7,57.6,62.2,65.1,88.6
Kittson County,MN ,Low,94.6,58.9,62.5,66.8,69.3,87.6
Koochiching County,MN ,Low-Mod,94.6,58.4,60.9,64.5,67,82.1
Lac qui Parle County,MN ,Low,94.6,58.4,61.3,64.7,66.7,75.6
Lake County,MN ,Low,94.6,66.3,69.7,72.9,74.3,84.7
Lake of the Woods County,MN ,Low,94.6,54.9,57.7,61,63.3,86.5
Le Sueur County,MN ,Low,94.6,48.8,52.1,55.1,57,76.8
Lincoln County,MN ,Low,94.6,52.8,56.3,60.5,62.7,80.8
Lyon County,MN ,Low-Mod,94.6,56.2,60.6,66,68.3,94.6
Mahnomen County,MN ,High,94.6,58.6,64.1,73.6,77.6,95
Marshall County,MN ,Low,94.6,49.7,53,57.1,59.2,77.2
Martin County,MN ,Low,94.6,55,58.4,62.7,65.6,83.3
McLeod County,MN ,Low,94.6,57.6,61.1,65.4,68.3,89.8
Meeker County,MN ,Low,94.6,47.9,51,54.7,57.7,81.2
Mille Lacs County,MN ,Mod-High,94.6,57.3,61.1,66.2,69.2,95
Morrison County,MN ,Low-Mod,94.6,48.9,51.9,56,58.7,85.4
Mower County,MN ,Mod-High,94.6,61.8,66.2,70.8,72.8,89.4
Murray County,MN ,Low,94.6,54.3,57.5,61.2,63.6,78.1
Nicollet County,MN ,Low-Mod,94.6,62.3,66,68.8,69.5,86.1
Nobles County,MN ,High,94.6,60.7,66.4,71.8,74.8,88.2
Norman County,MN ,Low-Mod,94.6,59.8,63.5,68.8,71.5,90.4
Olmsted County,MN ,Low-Mod,94.6,76.4,81.9,85.5,86.8,92.3
Otter Tail County,MN ,Low,94.6,50.4,53.5,57.3,59.2,79.9
Pennington County,MN ,Low-Mod,94.6,53.3,57,60.9,62.2,78.3
Pine County,MN ,Low-Mod,94.6,48.6,50.9,54,56.2,78.2
Pipestone County,MN ,Low-Mod,94.6,54.2,58.4,64.1,67.3,93.8
Polk County,MN ,Low-Mod,94.6,57.7,62,66.8,69.4,87.4
Pope County,MN ,Low,94.6,57,60.3,64.1,66,86.3
Ramsey County,MN ,Mod-High,94.6,71,76.2,79.5,80.2,93
Red Lake County,MN ,Low,94.6,56.1,59.7,64.8,67,84.9
Redwood County,MN ,Low,94.6,53.9,57.6,62,65.1,85
Renville County,MN ,Low,94.6,54.5,58.3,62.8,65.6,87.5
Rice County,MN ,Low-Mod,94.6,62.7,66.5,70.2,71.2,95
Rock County,MN ,Low,94.6,53.7,56.8,61.4,64.1,91.6
Roseau County,MN ,Low,94.6,51.2,54.3,59.5,62.3,84.8
Scott County,MN ,Low,94.6,69.1,74,78.6,80.5,95
Sherburne County,MN ,Low,94.6,45.8,49.1,52.5,54.4,79.4
Sibley County,MN ,Low,94.6,48.8,51.7,55.1,57.8,79.5
St. Louis County,MN ,Low-Mod,94.6,66.1,69.6,72.2,73.5,90.6
Stearns County,MN ,Low-Mod,94.6,58.5,62.5,66.5,68.5,95
Steele County,MN ,Low-Mod,94.6,60.5,64.3,68.7,71,88.8
Stevens County,MN ,Low,94.6,57.5,61.2,64.4,65.8,88
Swift County,MN ,Low-Mod,94.6,57.4,61.3,65.3,67.7,87.7
Todd County,MN ,Low-Mod,94.6,42.6,45.7,49.8,52.2,70.9
Traverse County,MN ,Low-Mod,94.6,63,66.9,70.8,73.2,94.9
Wabasha County,MN ,Low,94.6,73.1,77.4,82.4,84.7,95
Wadena County,MN ,Mod-High,94.6,49.5,53.1,58.2,62.5,91.5
Waseca County,MN ,Low-Mod,94.6,56.8,60.3,64.3,66.9,87.3
Washington County,MN ,Low,94.6,70,74.2,76.9,78,93
Watonwan County,MN ,Mod-High,94.6,58.1,62.6,66.8,68.5,84.8
Wilkin County,MN ,Low,94.6,53.7,57.2,61.4,63.7,92
Winona County,MN ,Low,94.6,64.4,67.6,69.7,70.4,95
Wright County,MN ,Low,94.6,54.5,58.5,63,65.8,90.2
Yellow Medicine County,MN ,Low-Mod,94.6,56.3,59.8,64.9,68.1,95
Adams County,MS ,High,98.1,53.7,56.9,60.6,62.4,85.4
Alcorn County,MS ,Mod-High,98.1,38.5,40.9,44.6,47.3,69.5
Amite County,MS ,High,98.1,39.7,41.9,45.1,46.9,59.5
Attala County,MS ,High,98.1,53.8,57.5,63,65.9,88.1
Benton County,MS ,Mod-High,98.1,51.1,54.1,58.6,61.3,84.7
Bolivar County,MS ,High,98.1,58.3,62.5,68.3,70.6,93.5
Calhoun County,MS ,High,98.1,43.6,46.2,50.6,54.2,71.1
Carroll County,MS ,Mod-High,98.1,41,42.8,45.7,47.1,56.9
Chickasaw County,MS ,High,98.1,48,51.6,57,60.4,88.6
Choctaw County,MS ,High,98.1,35.9,37.9,41.3,42.6,52.1
Claiborne County,MS ,High,98.1,54.5,58,60.7,60,80.8
Clarke County,MS ,Mod-High,98.1,56.3,60,64.9,68.1,83.7
Clay County,MS ,Mod-High,98.1,46.2,49.1,53.2,55.3,77.3
Coahoma County,MS ,High,98.1,51,55.4,61.3,63.1,83.3
Copiah County,MS ,High,98.1,53.8,57.1,61.7,63.2,81.3
Covington County,MS ,High,98.1,50.9,54.4,59.9,62.8,87.8
DeSoto County,MS ,Low-Mod,98.1,53.7,57.1,62.1,64.5,86.2
Forrest County,MS ,High,98.1,43.1,46.2,50.2,51.7,71.3
Franklin County,MS ,Mod-High,98.1,47.6,50.3,54.8,57.4,70.5
George County,MS ,Mod-High,98.1,40.1,43.3,48.5,52.2,87.7
Greene County,MS ,Mod-High,98.1,36.9,38.9,41.7,43.7,57.9
Grenada County,MS ,High,98.1,52.1,55.5,60.9,63.4,84.6
Hancock County,MS ,Mod-High,98.1,43.9,46.1,49.5,51.7,69.6
Harrison County,MS ,High,98.1,54.5,58.3,63.5,66.2,88.5
Hinds County,MS ,High,98.1,57.4,61.3,66,67.5,89.1
Holmes County,MS ,High,98.1,59,63.1,68,69.5,93
Humphreys County,MS ,High,98.1,58,61.4,67.2,69.2,83
Issaquena County,MS ,High,98.1,40,41.1,42.1,42,39.8
Itawamba County,MS ,Mod-High,98.1,34.4,36.5,39.8,42,67.9
Jackson County,MS ,Mod-High,98.1,47.1,50,54.2,56.3,76.4
Jasper County,MS ,High,98.1,50.3,53.4,58.2,59.9,75.8
Jefferson County,MS ,High,98.1,70.3,75,79.3,79,86.3
Jefferson Davis County,MS ,High,98.1,44.7,47.4,50.5,51.3,59.1
Jones County,MS ,High,98.1,43,46.1,50.8,53.4,77.6
Kemper County,MS ,High,98.1,45.7,47.9,50.8,50.8,63.7
Lafayette County,MS ,Mod-High,98.1,54.6,57.5,60.5,61.6,84.5
Lamar County,MS ,Mod-High,98.1,59,63.1,68.7,71.2,95
Lauderdale County,MS ,High,98.1,50.8,54.2,58.9,61.6,80.6
Lawrence County,MS ,Mod-High,98.1,54.8,58.4,64.2,67.2,95
Leake County,MS ,High,98.1,48.1,51.4,55.4,58.6,78.3
Lee County,MS ,High,98.1,43.2,46.3,50.7,53.3,77.9
Leflore County,MS ,High,98.1,61.5,66.7,73.9,76.6,95
Lincoln County,MS ,High,98.1,38.5,40.9,44.7,46.3,68.6
Lowndes County,MS ,High,98.1,50.5,54.1,59,61.5,84.2
Madison County,MS ,Low-Mod,98.1,63.1,67.3,72.6,74.9,95
Marion County,MS ,High,98.1,45.8,48.5,52.9,55.2,74
Marshall County,MS ,Mod-High,98.1,53.7,56.8,61.2,63.2,86
Monroe County,MS ,Mod-High,98.1,50.1,53.1,57.9,61,85.8
Montgomery County,MS ,High,98.1,55.4,58.9,63.8,66.2,80.9
Neshoba County,MS ,High,98.1,40.9,44.2,48.1,49.7,65.1
Newton County,MS ,High,98.1,52.8,56.6,62.2,65.9,95
Noxubee County,MS ,High,98.1,54.8,59.1,64.7,67.2,91.1
Oktibbeha County,MS ,Mod-High,98.1,51,53.8,56.6,57.2,88
Panola County,MS ,High,98.1,47.2,50.7,55.4,57.9,84.3
Pearl River County,MS ,Mod-High,98.1,47.4,50.3,55,58.2,85.1
Perry County,MS ,Mod-High,98.1,37.6,39.8,43.4,45.8,66.1
Pike County,MS ,High,98.1,49.9,53.5,59,62,85.6
Pontotoc County,MS ,High,98.1,41.2,44.3,49,52.6,82.3
Prentiss County,MS ,High,98.1,42.1,44.8,49.2,52,79.8
Quitman County,MS ,High,98.1,53.2,56.7,61,63.2,77.2
Rankin County,MS ,Low-Mod,98.1,50.9,54,58.5,60.8,81.4
Scott County,MS ,High,98.1,49.7,54,59.8,62.3,87.1
Sharkey County,MS ,High,98.1,55,58.7,64.4,66.6,82.7
Simpson County,MS ,High,98.1,44.7,47.3,51.5,54,75.6
Smith County,MS ,Low-Mod,98.1,33.9,36,39.2,41,52.5
Stone County,MS ,Mod-High,98.1,45.5,48.2,52.4,54.9,86.7
Sunflower County,MS ,High,98.1,52.7,55.8,60.1,61.9,86.6
Tallahatchie County,MS ,High,98.1,41.3,43.8,47,48.2,72.3
Tate County,MS ,High,98.1,44.5,47.4,51,53.1,75.5
Tippah County,MS ,High,98.1,41.5,44.3,48.7,52.1,82.9
Tishomingo County,MS ,Mod-High,98.1,38.2,40.4,44,46.7,72.7
Tunica County,MS ,High,98.1,51.2,56.1,61.9,63.1,87.7
Union County,MS ,High,98.1,38.9,41.6,46,48.9,74.7
Walthall County,MS ,High,98.1,41.1,43.6,47.3,49.2,65.1
Warren County,MS ,High,98.1,57.1,61,66,67.8,86.9
Washington County,MS ,High,98.1,50.1,53.8,59.3,61.6,85.9
Wayne County,MS ,High,98.1,38.7,41.5,45.7,47.9,64.5
Webster County,MS ,Mod-High,98.1,47.7,50.7,55.6,59.7,93.4
